Chicago;chg;dia
San Francisco;sfr;dia
Atlanta;atl;dia
Nueva York;nyc;dia
Miami;mia;ban
Mexico;mex;ban
Lima;lim;ban
Sao Paulo;spa;ban
Bogotá;bog;ban
Berlín;ber;dia
Londres;lon;dia
París;par;dia
Milán;mil;dia
Madrid;mad;dia
Jartum;jar;ebo
El Cairo;car;ebo
Baghdad;bag;ebo
Estambúl;ist;lup
Beijing;bei;lup
Seúl;seo;lup
Teherán;teh;lup
Manila;man;lup
Sídney;syd;dia
Delhi;del;lup
Bangkok;ban;lup
Hong Kong;hkg;lup
Buenos Aires;bua;ban
Lagos;lag;ban
Los Angeles;lan;dia
Montreal;mon;dia
Moscow;mos;lup
Mumbai;mum;ebo
Osaka;osa;lup
Riyadh;riy;ebo
Santiago;san;ban
Taipei;tai;lup
Tokyo;tok;lup
Washington;was;dia
Kolkata;kol;lup
Algiers;alg;dia
Chennai;chen;ban
Essen;ess;dia
Ho Chi Minh City;hcm;lup
Jakarta;jak;lup
Johannesburg;joh;dia
Karachi;kar;lup
Kinshasa;kin;lup
Shanghai;shan;lup
St. Petersburg;pet;dia
