Chicago;chg;dia;1209
SanFrancisco;sfr;dia;12093
Atlanta;atl;dia;123
NuevaYork;nyc;dia;123
Miami;mia;ban;908
Mexico;mex;ban;123987
Lima;lim;ban;213
SaoPaulo;spa;ban;213987
Bogota;bog;ban;091283
Berlín;ber;dia;231
Londres;lon;dia;123098
París;par;dia;23
Milán;mil;dia;192803
Madrid;mad;dia;12390
Jartum;jar;ebo;123
ElCairo;car;ebo;987
Baghdad;bag;ebo;765
Estambúl;ist;lup;132
Beijing;bei;lup;987
Seúl;seo;lup;32198
Teherán;teh;lup;45
Manila;man;lup;324
Sídney;syd;dia;13489
Delhi;del;lup;124
Bangkok;ban;lup;876
HongKong;hkg;lup;987
BuenosAires;bua;ban;1324
Lagos;lag;ban;987
LosAngeles;lan;dia;98
Montreal;mon;dia;987
Moscow;mos;lup;65
Mumbai;mum;ebo;324
Osaka;osa;lup;132409
Riyadh;riy;ebo;987
Santiago;san;ban;1324
Taipei;tai;lup;132
Tokyo;tok;lup;12
Washington;was;dia;213
Kolkata;kol;lup;654
Algiers;alg;dia;123
Chennai;chen;ban;567
Essen;ess;dia;3425
HoChiMinhCity;hcm;lup;2314
Jakarta;jak;lup;324
Johannesburg;joh;dia;342
Karachi;kar;lup;213
Kinshasa;kin;lup;76
Shanghai;shan;lup;098
